PING 54.183.192.90 (54.183.192.90) 56(84) bytes of data.
64 bytes from 54.183.192.90: icmp_seq=1 ttl=63 time=0.462 ms
64 bytes from 54.183.192.90: icmp_seq=2 ttl=63 time=0.543 ms
64 bytes from 54.183.192.90: icmp_seq=3 ttl=63 time=0.505 ms
64 bytes from 54.183.192.90: icmp_seq=4 ttl=63 time=0.506 ms
64 bytes from 54.183.192.90: icmp_seq=5 ttl=63 time=0.608 ms
64 bytes from 54.183.192.90: icmp_seq=6 ttl=63 time=0.468 ms
64 bytes from 54.183.192.90: icmp_seq=7 ttl=63 time=0.465 ms
64 bytes from 54.183.192.90: icmp_seq=8 ttl=63 time=0.520 ms
64 bytes from 54.183.192.90: icmp_seq=9 ttl=63 time=0.467 ms
64 bytes from 54.183.192.90: icmp_seq=10 ttl=63 time=0.561 ms
64 bytes from 54.183.192.90: icmp_seq=11 ttl=63 time=0.488 ms
64 bytes from 54.183.192.90: icmp_seq=12 ttl=63 time=0.504 ms
64 bytes from 54.183.192.90: icmp_seq=13 ttl=63 time=0.571 ms
64 bytes from 54.183.192.90: icmp_seq=14 ttl=63 time=0.479 ms
64 bytes from 54.183.192.90: icmp_seq=15 ttl=63 time=0.447 ms
64 bytes from 54.183.192.90: icmp_seq=16 ttl=63 time=0.458 ms
64 bytes from 54.183.192.90: icmp_seq=17 ttl=63 time=1.37 ms
64 bytes from 54.183.192.90: icmp_seq=18 ttl=63 time=0.521 ms
64 bytes from 54.183.192.90: icmp_seq=19 ttl=63 time=0.504 ms
64 bytes from 54.183.192.90: icmp_seq=20 ttl=63 time=0.517 ms
64 bytes from 54.183.192.90: icmp_seq=21 ttl=63 time=0.461 ms
64 bytes from 54.183.192.90: icmp_seq=22 ttl=63 time=0.425 ms
64 bytes from 54.183.192.90: icmp_seq=23 ttl=63 time=0.533 ms
64 bytes from 54.183.192.90: icmp_seq=24 ttl=63 time=0.503 ms
64 bytes from 54.183.192.90: icmp_seq=25 ttl=63 time=0.500 ms
64 bytes from 54.183.192.90: icmp_seq=26 ttl=63 time=0.627 ms
64 bytes from 54.183.192.90: icmp_seq=27 ttl=63 time=0.416 ms
64 bytes from 54.183.192.90: icmp_seq=28 ttl=63 time=1.27 ms
64 bytes from 54.183.192.90: icmp_seq=29 ttl=63 time=0.484 ms
64 bytes from 54.183.192.90: icmp_seq=30 ttl=63 time=0.549 ms
64 bytes from 54.183.192.90: icmp_seq=31 ttl=63 time=0.453 ms
64 bytes from 54.183.192.90: icmp_seq=32 ttl=63 time=0.452 ms
64 bytes from 54.183.192.90: icmp_seq=33 ttl=63 time=1.46 ms
64 bytes from 54.183.192.90: icmp_seq=34 ttl=63 time=9.62 ms
64 bytes from 54.183.192.90: icmp_seq=35 ttl=63 time=0.516 ms
64 bytes from 54.183.192.90: icmp_seq=36 ttl=63 time=0.521 ms
64 bytes from 54.183.192.90: icmp_seq=37 ttl=63 time=0.440 ms
64 bytes from 54.183.192.90: icmp_seq=38 ttl=63 time=12.6 ms
64 bytes from 54.183.192.90: icmp_seq=39 ttl=63 time=0.679 ms
64 bytes from 54.183.192.90: icmp_seq=40 ttl=63 time=2.32 ms
64 bytes from 54.183.192.90: icmp_seq=41 ttl=63 time=0.703 ms
64 bytes from 54.183.192.90: icmp_seq=42 ttl=63 time=0.541 ms
64 bytes from 54.183.192.90: icmp_seq=43 ttl=63 time=0.458 ms
64 bytes from 54.183.192.90: icmp_seq=44 ttl=63 time=0.538 ms
64 bytes from 54.183.192.90: icmp_seq=45 ttl=63 time=0.481 ms
64 bytes from 54.183.192.90: icmp_seq=46 ttl=63 time=0.477 ms
64 bytes from 54.183.192.90: icmp_seq=47 ttl=63 time=0.450 ms
64 bytes from 54.183.192.90: icmp_seq=48 ttl=63 time=0.563 ms
64 bytes from 54.183.192.90: icmp_seq=49 ttl=63 time=0.686 ms
64 bytes from 54.183.192.90: icmp_seq=50 ttl=63 time=0.478 ms
64 bytes from 54.183.192.90: icmp_seq=51 ttl=63 time=0.505 ms
64 bytes from 54.183.192.90: icmp_seq=52 ttl=63 time=0.460 ms
64 bytes from 54.183.192.90: icmp_seq=53 ttl=63 time=0.445 ms
64 bytes from 54.183.192.90: icmp_seq=54 ttl=63 time=0.608 ms
64 bytes from 54.183.192.90: icmp_seq=55 ttl=63 time=0.435 ms
64 bytes from 54.183.192.90: icmp_seq=56 ttl=63 time=0.425 ms
64 bytes from 54.183.192.90: icmp_seq=57 ttl=63 time=0.479 ms
64 bytes from 54.183.192.90: icmp_seq=58 ttl=63 time=0.484 ms
64 bytes from 54.183.192.90: icmp_seq=59 ttl=63 time=0.492 ms
64 bytes from 54.183.192.90: icmp_seq=60 ttl=63 time=14.2 ms
64 bytes from 54.183.192.90: icmp_seq=61 ttl=63 time=4.72 ms
64 bytes from 54.183.192.90: icmp_seq=62 ttl=63 time=0.472 ms
64 bytes from 54.183.192.90: icmp_seq=63 ttl=63 time=5.48 ms
64 bytes from 54.183.192.90: icmp_seq=64 ttl=63 time=0.706 ms
64 bytes from 54.183.192.90: icmp_seq=65 ttl=63 time=0.546 ms
64 bytes from 54.183.192.90: icmp_seq=66 ttl=63 time=2.58 ms
64 bytes from 54.183.192.90: icmp_seq=67 ttl=63 time=0.451 ms
64 bytes from 54.183.192.90: icmp_seq=68 ttl=63 time=1.89 ms
64 bytes from 54.183.192.90: icmp_seq=69 ttl=63 time=0.481 ms
64 bytes from 54.183.192.90: icmp_seq=70 ttl=63 time=0.504 ms
64 bytes from 54.183.192.90: icmp_seq=71 ttl=63 time=0.580 ms
64 bytes from 54.183.192.90: icmp_seq=72 ttl=63 time=0.518 ms
64 bytes from 54.183.192.90: icmp_seq=73 ttl=63 time=0.482 ms
64 bytes from 54.183.192.90: icmp_seq=74 ttl=63 time=0.488 ms
64 bytes from 54.183.192.90: icmp_seq=75 ttl=63 time=0.459 ms
64 bytes from 54.183.192.90: icmp_seq=76 ttl=63 time=0.549 ms
64 bytes from 54.183.192.90: icmp_seq=77 ttl=63 time=0.464 ms
64 bytes from 54.183.192.90: icmp_seq=78 ttl=63 time=4.58 ms
64 bytes from 54.183.192.90: icmp_seq=79 ttl=63 time=0.433 ms
64 bytes from 54.183.192.90: icmp_seq=80 ttl=63 time=0.461 ms
64 bytes from 54.183.192.90: icmp_seq=81 ttl=63 time=4.73 ms
64 bytes from 54.183.192.90: icmp_seq=82 ttl=63 time=4.88 ms
