PING 52.175.213.212 (52.175.213.212) 56(84) bytes of data.
64 bytes from 52.175.213.212: icmp_seq=1 ttl=57 time=1.20 ms
64 bytes from 52.175.213.212: icmp_seq=2 ttl=57 time=1.17 ms
64 bytes from 52.175.213.212: icmp_seq=3 ttl=57 time=1.38 ms
64 bytes from 52.175.213.212: icmp_seq=4 ttl=57 time=0.992 ms
64 bytes from 52.175.213.212: icmp_seq=5 ttl=57 time=1.28 ms
64 bytes from 52.175.213.212: icmp_seq=6 ttl=57 time=1.07 ms
64 bytes from 52.175.213.212: icmp_seq=7 ttl=57 time=1.17 ms
64 bytes from 52.175.213.212: icmp_seq=8 ttl=57 time=1.22 ms
64 bytes from 52.175.213.212: icmp_seq=9 ttl=57 time=1.15 ms
64 bytes from 52.175.213.212: icmp_seq=10 ttl=57 time=1.36 ms
64 bytes from 52.175.213.212: icmp_seq=11 ttl=57 time=1.14 ms
64 bytes from 52.175.213.212: icmp_seq=12 ttl=57 time=1.03 ms
64 bytes from 52.175.213.212: icmp_seq=13 ttl=57 time=1.04 ms
64 bytes from 52.175.213.212: icmp_seq=14 ttl=57 time=1.47 ms
64 bytes from 52.175.213.212: icmp_seq=15 ttl=57 time=1.34 ms
64 bytes from 52.175.213.212: icmp_seq=16 ttl=57 time=1.12 ms
64 bytes from 52.175.213.212: icmp_seq=17 ttl=57 time=1.03 ms
64 bytes from 52.175.213.212: icmp_seq=18 ttl=57 time=1.40 ms
64 bytes from 52.175.213.212: icmp_seq=19 ttl=57 time=1.34 ms
64 bytes from 52.175.213.212: icmp_seq=20 ttl=57 time=1.39 ms
64 bytes from 52.175.213.212: icmp_seq=21 ttl=57 time=1.15 ms
64 bytes from 52.175.213.212: icmp_seq=22 ttl=57 time=1.02 ms
64 bytes from 52.175.213.212: icmp_seq=23 ttl=57 time=1.12 ms
64 bytes from 52.175.213.212: icmp_seq=24 ttl=57 time=1.15 ms
64 bytes from 52.175.213.212: icmp_seq=25 ttl=57 time=1.08 ms
64 bytes from 52.175.213.212: icmp_seq=26 ttl=57 time=1.38 ms
64 bytes from 52.175.213.212: icmp_seq=27 ttl=57 time=1.09 ms
64 bytes from 52.175.213.212: icmp_seq=28 ttl=57 time=1.21 ms
64 bytes from 52.175.213.212: icmp_seq=29 ttl=57 time=1.13 ms
64 bytes from 52.175.213.212: icmp_seq=30 ttl=57 time=1.25 ms
64 bytes from 52.175.213.212: icmp_seq=31 ttl=57 time=1.25 ms
64 bytes from 52.175.213.212: icmp_seq=32 ttl=57 time=1.35 ms
64 bytes from 52.175.213.212: icmp_seq=33 ttl=57 time=1.42 ms
64 bytes from 52.175.213.212: icmp_seq=34 ttl=57 time=1.02 ms
64 bytes from 52.175.213.212: icmp_seq=35 ttl=57 time=1.63 ms
64 bytes from 52.175.213.212: icmp_seq=36 ttl=57 time=1.17 ms
64 bytes from 52.175.213.212: icmp_seq=37 ttl=57 time=1.34 ms
64 bytes from 52.175.213.212: icmp_seq=38 ttl=57 time=1.25 ms
64 bytes from 52.175.213.212: icmp_seq=39 ttl=57 time=1.60 ms
64 bytes from 52.175.213.212: icmp_seq=40 ttl=57 time=1.10 ms
64 bytes from 52.175.213.212: icmp_seq=41 ttl=57 time=0.989 ms
64 bytes from 52.175.213.212: icmp_seq=42 ttl=57 time=1.62 ms
64 bytes from 52.175.213.212: icmp_seq=43 ttl=57 time=1.26 ms
64 bytes from 52.175.213.212: icmp_seq=44 ttl=57 time=1.90 ms
64 bytes from 52.175.213.212: icmp_seq=45 ttl=57 time=1.23 ms
64 bytes from 52.175.213.212: icmp_seq=46 ttl=57 time=1.38 ms
64 bytes from 52.175.213.212: icmp_seq=47 ttl=57 time=1.20 ms
64 bytes from 52.175.213.212: icmp_seq=48 ttl=57 time=1.02 ms
64 bytes from 52.175.213.212: icmp_seq=49 ttl=57 time=0.968 ms
64 bytes from 52.175.213.212: icmp_seq=50 ttl=57 time=0.945 ms
64 bytes from 52.175.213.212: icmp_seq=51 ttl=57 time=1.48 ms
64 bytes from 52.175.213.212: icmp_seq=52 ttl=57 time=1.99 ms
64 bytes from 52.175.213.212: icmp_seq=53 ttl=57 time=1.35 ms
64 bytes from 52.175.213.212: icmp_seq=54 ttl=57 time=1.16 ms
64 bytes from 52.175.213.212: icmp_seq=55 ttl=57 time=1.06 ms
64 bytes from 52.175.213.212: icmp_seq=56 ttl=57 time=1.22 ms
64 bytes from 52.175.213.212: icmp_seq=57 ttl=57 time=1.28 ms
64 bytes from 52.175.213.212: icmp_seq=58 ttl=57 time=1.86 ms
64 bytes from 52.175.213.212: icmp_seq=59 ttl=57 time=1.14 ms
64 bytes from 52.175.213.212: icmp_seq=60 ttl=57 time=1.24 ms
64 bytes from 52.175.213.212: icmp_seq=61 ttl=57 time=6.14 ms
64 bytes from 52.175.213.212: icmp_seq=62 ttl=57 time=1.63 ms
64 bytes from 52.175.213.212: icmp_seq=63 ttl=57 time=1.22 ms
64 bytes from 52.175.213.212: icmp_seq=64 ttl=57 time=1.30 ms
64 bytes from 52.175.213.212: icmp_seq=65 ttl=57 time=1.13 ms
64 bytes from 52.175.213.212: icmp_seq=66 ttl=57 time=1.80 ms
64 bytes from 52.175.213.212: icmp_seq=67 ttl=57 time=1.18 ms
64 bytes from 52.175.213.212: icmp_seq=68 ttl=57 time=1.13 ms
64 bytes from 52.175.213.212: icmp_seq=69 ttl=57 time=1.18 ms
64 bytes from 52.175.213.212: icmp_seq=70 ttl=57 time=0.968 ms
64 bytes from 52.175.213.212: icmp_seq=71 ttl=57 time=1.06 ms
64 bytes from 52.175.213.212: icmp_seq=72 ttl=57 time=0.941 ms
64 bytes from 52.175.213.212: icmp_seq=73 ttl=57 time=1.00 ms
64 bytes from 52.175.213.212: icmp_seq=74 ttl=57 time=1.05 ms
64 bytes from 52.175.213.212: icmp_seq=75 ttl=57 time=2.29 ms
64 bytes from 52.175.213.212: icmp_seq=76 ttl=57 time=1.26 ms
64 bytes from 52.175.213.212: icmp_seq=77 ttl=57 time=1.12 ms
64 bytes from 52.175.213.212: icmp_seq=78 ttl=57 time=1.26 ms
64 bytes from 52.175.213.212: icmp_seq=79 ttl=57 time=1.20 ms
64 bytes from 52.175.213.212: icmp_seq=80 ttl=57 time=1.32 ms
64 bytes from 52.175.213.212: icmp_seq=81 ttl=57 time=1.62 ms
64 bytes from 52.175.213.212: icmp_seq=82 ttl=57 time=1.14 ms
64 bytes from 52.175.213.212: icmp_seq=83 ttl=57 time=1.27 ms
64 bytes from 52.175.213.212: icmp_seq=84 ttl=57 time=1.16 ms
64 bytes from 52.175.213.212: icmp_seq=85 ttl=57 time=0.909 ms
64 bytes from 52.175.213.212: icmp_seq=86 ttl=57 time=1.65 ms
64 bytes from 52.175.213.212: icmp_seq=87 ttl=57 time=1.11 ms
64 bytes from 52.175.213.212: icmp_seq=88 ttl=57 time=0.943 ms
64 bytes from 52.175.213.212: icmp_seq=89 ttl=57 time=1.18 ms
64 bytes from 52.175.213.212: icmp_seq=90 ttl=57 time=1.10 ms
64 bytes from 52.175.213.212: icmp_seq=91 ttl=57 time=1.07 ms
64 bytes from 52.175.213.212: icmp_seq=92 ttl=57 time=1.28 ms
64 bytes from 52.175.213.212: icmp_seq=93 ttl=57 time=1.09 ms
64 bytes from 52.175.213.212: icmp_seq=94 ttl=57 time=1.14 ms
64 bytes from 52.175.213.212: icmp_seq=95 ttl=57 time=1.05 ms
64 bytes from 52.175.213.212: icmp_seq=96 ttl=57 time=1.24 ms
64 bytes from 52.175.213.212: icmp_seq=97 ttl=57 time=1.21 ms
64 bytes from 52.175.213.212: icmp_seq=98 ttl=57 time=1.45 ms
64 bytes from 52.175.213.212: icmp_seq=99 ttl=57 time=1.25 ms
64 bytes from 52.175.213.212: icmp_seq=100 ttl=57 time=1.28 ms
64 bytes from 52.175.213.212: icmp_seq=101 ttl=57 time=1.05 ms
64 bytes from 52.175.213.212: icmp_seq=102 ttl=57 time=1.06 ms
64 bytes from 52.175.213.212: icmp_seq=103 ttl=57 time=1.17 ms
64 bytes from 52.175.213.212: icmp_seq=104 ttl=57 time=1.09 ms
64 bytes from 52.175.213.212: icmp_seq=105 ttl=57 time=1.63 ms
64 bytes from 52.175.213.212: icmp_seq=106 ttl=57 time=1.00 ms
64 bytes from 52.175.213.212: icmp_seq=107 ttl=57 time=1.27 ms
64 bytes from 52.175.213.212: icmp_seq=108 ttl=57 time=1.10 ms
64 bytes from 52.175.213.212: icmp_seq=109 ttl=57 time=1.36 ms
64 bytes from 52.175.213.212: icmp_seq=110 ttl=57 time=1.02 ms
64 bytes from 52.175.213.212: icmp_seq=111 ttl=57 time=0.947 ms
64 bytes from 52.175.213.212: icmp_seq=112 ttl=57 time=1.44 ms
64 bytes from 52.175.213.212: icmp_seq=113 ttl=57 time=0.996 ms
64 bytes from 52.175.213.212: icmp_seq=114 ttl=57 time=1.15 ms
64 bytes from 52.175.213.212: icmp_seq=115 ttl=57 time=1.20 ms
64 bytes from 52.175.213.212: icmp_seq=116 ttl=57 time=1.21 ms
64 bytes from 52.175.213.212: icmp_seq=117 ttl=57 time=1.19 ms
64 bytes from 52.175.213.212: icmp_seq=118 ttl=57 time=1.15 ms
64 bytes from 52.175.213.212: icmp_seq=119 ttl=57 time=1.22 ms
64 bytes from 52.175.213.212: icmp_seq=120 ttl=57 time=1.75 ms
64 bytes from 52.175.213.212: icmp_seq=121 ttl=57 time=0.947 ms
