PING 143.198.66.185 (143.198.66.185) 56(84) bytes of data.
64 bytes from 143.198.66.185: icmp_seq=1 ttl=62 time=2.27 ms
64 bytes from 143.198.66.185: icmp_seq=2 ttl=62 time=0.573 ms
64 bytes from 143.198.66.185: icmp_seq=3 ttl=62 time=0.485 ms
64 bytes from 143.198.66.185: icmp_seq=4 ttl=62 time=0.628 ms
64 bytes from 143.198.66.185: icmp_seq=5 ttl=62 time=0.433 ms
64 bytes from 143.198.66.185: icmp_seq=6 ttl=62 time=0.514 ms
64 bytes from 143.198.66.185: icmp_seq=7 ttl=62 time=0.395 ms
64 bytes from 143.198.66.185: icmp_seq=8 ttl=62 time=0.373 ms
64 bytes from 143.198.66.185: icmp_seq=9 ttl=62 time=0.438 ms
64 bytes from 143.198.66.185: icmp_seq=10 ttl=62 time=0.500 ms
64 bytes from 143.198.66.185: icmp_seq=11 ttl=62 time=0.434 ms
64 bytes from 143.198.66.185: icmp_seq=12 ttl=62 time=0.434 ms
64 bytes from 143.198.66.185: icmp_seq=13 ttl=62 time=0.372 ms
64 bytes from 143.198.66.185: icmp_seq=14 ttl=62 time=0.394 ms
64 bytes from 143.198.66.185: icmp_seq=15 ttl=62 time=0.446 ms
64 bytes from 143.198.66.185: icmp_seq=16 ttl=62 time=0.421 ms
64 bytes from 143.198.66.185: icmp_seq=17 ttl=62 time=0.397 ms
64 bytes from 143.198.66.185: icmp_seq=18 ttl=62 time=0.475 ms
64 bytes from 143.198.66.185: icmp_seq=19 ttl=62 time=0.466 ms
64 bytes from 143.198.66.185: icmp_seq=20 ttl=62 time=0.382 ms
64 bytes from 143.198.66.185: icmp_seq=21 ttl=62 time=0.383 ms
64 bytes from 143.198.66.185: icmp_seq=22 ttl=62 time=0.383 ms
64 bytes from 143.198.66.185: icmp_seq=23 ttl=62 time=0.488 ms
64 bytes from 143.198.66.185: icmp_seq=24 ttl=62 time=0.428 ms
64 bytes from 143.198.66.185: icmp_seq=25 ttl=62 time=0.399 ms
64 bytes from 143.198.66.185: icmp_seq=26 ttl=62 time=0.414 ms
64 bytes from 143.198.66.185: icmp_seq=27 ttl=62 time=0.361 ms
64 bytes from 143.198.66.185: icmp_seq=28 ttl=62 time=0.394 ms
64 bytes from 143.198.66.185: icmp_seq=29 ttl=62 time=0.415 ms
64 bytes from 143.198.66.185: icmp_seq=30 ttl=62 time=0.360 ms
