PING 34.94.6.178 (34.94.6.178) 56(84) bytes of data.
64 bytes from 34.94.6.178: icmp_seq=1 ttl=61 time=3.04 ms
64 bytes from 34.94.6.178: icmp_seq=2 ttl=61 time=3.23 ms
64 bytes from 34.94.6.178: icmp_seq=3 ttl=61 time=2.95 ms
64 bytes from 34.94.6.178: icmp_seq=4 ttl=61 time=3.04 ms
64 bytes from 34.94.6.178: icmp_seq=5 ttl=61 time=3.71 ms
64 bytes from 34.94.6.178: icmp_seq=6 ttl=61 time=3.52 ms
64 bytes from 34.94.6.178: icmp_seq=7 ttl=61 time=3.20 ms
64 bytes from 34.94.6.178: icmp_seq=8 ttl=61 time=3.13 ms
64 bytes from 34.94.6.178: icmp_seq=9 ttl=61 time=3.63 ms
64 bytes from 34.94.6.178: icmp_seq=10 ttl=61 time=2.32 ms
64 bytes from 34.94.6.178: icmp_seq=11 ttl=61 time=3.22 ms
64 bytes from 34.94.6.178: icmp_seq=12 ttl=61 time=2.37 ms
64 bytes from 34.94.6.178: icmp_seq=13 ttl=61 time=3.03 ms
64 bytes from 34.94.6.178: icmp_seq=14 ttl=61 time=3.19 ms
64 bytes from 34.94.6.178: icmp_seq=15 ttl=61 time=3.14 ms
64 bytes from 34.94.6.178: icmp_seq=16 ttl=61 time=2.38 ms
64 bytes from 34.94.6.178: icmp_seq=17 ttl=61 time=4.47 ms
64 bytes from 34.94.6.178: icmp_seq=18 ttl=61 time=3.63 ms
64 bytes from 34.94.6.178: icmp_seq=19 ttl=61 time=3.32 ms
64 bytes from 34.94.6.178: icmp_seq=20 ttl=61 time=2.71 ms
64 bytes from 34.94.6.178: icmp_seq=21 ttl=61 time=2.68 ms
64 bytes from 34.94.6.178: icmp_seq=22 ttl=61 time=2.90 ms
64 bytes from 34.94.6.178: icmp_seq=23 ttl=61 time=3.31 ms
64 bytes from 34.94.6.178: icmp_seq=24 ttl=61 time=2.81 ms
64 bytes from 34.94.6.178: icmp_seq=25 ttl=61 time=3.46 ms
64 bytes from 34.94.6.178: icmp_seq=26 ttl=61 time=3.39 ms
64 bytes from 34.94.6.178: icmp_seq=27 ttl=61 time=3.10 ms
64 bytes from 34.94.6.178: icmp_seq=28 ttl=61 time=2.48 ms
64 bytes from 34.94.6.178: icmp_seq=29 ttl=61 time=2.46 ms
64 bytes from 34.94.6.178: icmp_seq=30 ttl=61 time=2.63 ms
64 bytes from 34.94.6.178: icmp_seq=31 ttl=61 time=3.33 ms
64 bytes from 34.94.6.178: icmp_seq=32 ttl=61 time=2.96 ms
64 bytes from 34.94.6.178: icmp_seq=33 ttl=61 time=3.28 ms
64 bytes from 34.94.6.178: icmp_seq=34 ttl=61 time=2.100 ms
64 bytes from 34.94.6.178: icmp_seq=35 ttl=61 time=3.11 ms
64 bytes from 34.94.6.178: icmp_seq=36 ttl=61 time=3.38 ms
64 bytes from 34.94.6.178: icmp_seq=37 ttl=61 time=2.91 ms
64 bytes from 34.94.6.178: icmp_seq=38 ttl=61 time=3.13 ms
64 bytes from 34.94.6.178: icmp_seq=39 ttl=61 time=2.81 ms
64 bytes from 34.94.6.178: icmp_seq=40 ttl=61 time=3.81 ms
64 bytes from 34.94.6.178: icmp_seq=41 ttl=61 time=2.94 ms
64 bytes from 34.94.6.178: icmp_seq=42 ttl=61 time=2.58 ms
64 bytes from 34.94.6.178: icmp_seq=43 ttl=61 time=2.71 ms
64 bytes from 34.94.6.178: icmp_seq=44 ttl=61 time=2.55 ms
64 bytes from 34.94.6.178: icmp_seq=45 ttl=61 time=4.16 ms
64 bytes from 34.94.6.178: icmp_seq=46 ttl=61 time=3.26 ms
64 bytes from 34.94.6.178: icmp_seq=47 ttl=61 time=2.50 ms
64 bytes from 34.94.6.178: icmp_seq=48 ttl=61 time=2.85 ms
64 bytes from 34.94.6.178: icmp_seq=49 ttl=61 time=2.39 ms
64 bytes from 34.94.6.178: icmp_seq=50 ttl=61 time=3.03 ms
64 bytes from 34.94.6.178: icmp_seq=51 ttl=61 time=3.48 ms
